공원명,위도,경도
율하체육공원,35.85992537,128.6928379
대구체육공원,35.82976814,128.6901638
월배체육공원,35.80159961,128.536496
명곡체육공원,35.79768955,128.5036013
국가산단체육1공원,35.7980085,128.5038782
서재체육공원,35.8842519,128.503869
연경체육공원,35.943972,128.625649
상림근린공원,35.524331,127.7189666
하림공원,35.511968,127.743278
충혼탑어린이공원,35.514948,127.726059
화산공원,35.52316045,127.7886678
최치원공원,35.526398,127.722826
용두산공원,35.1009305,129.0324434
중앙공원,35.1096029,129.028064
영주어린이공원,35.1115211,129.0307744
오름소공원,35.09971591,129.033248
공원:102(당진:02 계림공원),36.89744497,126.6450933
공원:103(당진:03 승리봉공원),36.89554285,126.627703
공원:104(당진:04 채운공원),36.89064383,126.619224
공원:107(당진:06 남산공원),36.89438169,126.6345673
공원:109(당진:8 서문공원),36.89320136,126.6271367
공원:110(당진:09 새싹공원),36.89023423,126.6353885
공원:111(당진:10 은하공원),36.8946859,126.6226732
공원:113(당진:12 하늘공원),36.88803752,126.6348417
공원:114(당진:13 보름달공원),36.88720282,126.6306794
공원:115(당진:14 바다공원),36.8868512,126.6349617
공원:116(당진:15 해바라기공원),36.88615679,126.6398247
읍내공원,35.940615,128.549621
들꽃공원,35.945926,128.558193
미소공원,35.945892,128.561755
둥근달공원,,128.566215
미리내공원,,128.571177
마당공원,35.947803,128.576319
까치공원,35.949259,
반딧불이공원,35.940002,128.558649
동평공원,35.938227,128.560574
사계절공원,35.938091,128.564823
열림공원,35.940722,128.567747
오뚜기공원,35.93639164,128.5577386
뜨락공원,35.935579,128.564783
비로실공원,35.938382,128.568549
운곡공원,35.935429,128.567071
솔밭공원,35.932303,128.563967
예삐공원,35.946833,128.572621
앵무새공원,35.943191,128.572443
천서공원,35.938199,128.558312
도곡공원,35.927498,128.596129
성북공원,35.924617,128.595505
햇살공원,35.922827,128.597094
한솔공원,35.919226,128.597017
으뜸공원,,128.596128
동화공원,35.921245,128.601064
꽃밭공원,35.920056,128.605362
초장1지구3공원,35.211851,128.104002
초지상소공원2,37.32491,126.80794
도토리공원,37.307241,126.832012
원곡3문화공원,37.324755,126.803681
원곡3소공원,37.323728,126.804429
초지1소공원,37.322585,126.806747
초지상소공원,37.32374,126.808241
서본공원,36.65124841,128.4464752
남산공원,36.6521578,128.4570263
백전어린이공원,36.662219,128.461894
동본어린이공원,36.657098,128.459633
공원1,36.576526,128.467115
공원2,36.577611,128.484921
공원3,36.579123,128.491999
소공원,37.163501,127.369301
소공원,37.239001,127.191601
소공원,37.276601,127.110801
보정제3호 어린이공원(독정),37.319501,127.121001
보정제4호 어린이공원(죽현),37.319001,127.112001
보정제5호 어린이공원(포솔),37.311701,127.116001
제48호 근린공원(강남근린공원),37.273201,127.132501
제51호 어린이공원(하늘채),37.278101,127.129401
제52호 어린이공원(갈곡),37.271801,127.129701
제53호 어린이공원(강남),37.269901,127.130401
서천4근린공원,37.235301,127.077601
마평어린이공원,37.235001,127.216201
제74호 어린이공원,37.239001,127.187001
화정공원,35.8719799,127.1201996
팔복문화공원,35.86133297,127.1009481
철도178호,35.8295784,127.1761143
에코시티 1호공원,35.8719799,127.1201996
에코시티5호,35.8719799,127.1201996
제187호 근린공원,35.8255237,127.1760178
동산구역B,35.8698979,127.0792306
동산구역A,35.870165,127.080703
이목대공원,35.8144091,127.1560596
역사도심공원,35.820872,
추천대공원,35.845709,127.1041981
에코시티4호,35.876414,127.1158797
에코시티5호,35.876854,127.117319
에코시티6호,,127.118276
에코시티9호,35.871553,127.139451
백석공원,35.8719799,127.1201996
세병공원,35.8719799,127.1201996
붓내공원,35.8719799,127.1201996
공원1,36.576716,128.479396
공원2,36.574823,128.477047
공원3,36.574763,128.482541
공원1,36.576651,128.477079
공원1,36.575649,128.463995
공원2,36.574619,128.467107
공원3,36.574395,128.475326
공원4,36.573835,128.475412
공원5,36.574594,128.480602
공원6,36.574189,128.480602
공원7,36.573062,128.489964
공원8,36.575216,128.490683
공원9,36.576319,128.490822
읍부공원(용궁도시),36.60908087,128.2738212
새달감공원(하리송월 지구단위),36.74979181,128.4261248
남본어린이공원,36.64819849,128.4596097
도원공원,37.43830459,126.7775548
상아공원,37.43611414,126.7776186
신흥공원,37.43700868,126.778368
새말공원,37.436735,126.783227
공원-115,35.31779248,126.9843974
금암2리 소공원,37.1105869,127.0360626
고덕문화마을1 소공원,37.0402788,
신당 근린공원(포승공단),36.97005051,126.8474896
여술 근린공원(포승공단),36.9912803,126.8416669
도곡 근린공원(포승공단),36.98936154,126.847404
번제 근린공원(포승공단),36.9843927,126.8330662
학현 근린공원,36.989887,126.9174459
안중 근린공원(안중지구 택지개발),36.98523438,126.9206115
현화 근린공원(안중지구 택지개발),36.9805503,126.9204024
비둘기 근린공원(청북 어연한산공단),37.0495834,126.9729334
김포문화공원28,37.606406,126.732561
김포어린이43,37.610172,126.730605
김포어린이44,37.608455,126.725528
향산근린1,37.621727,126.741849
신곡6지구(24호)신곡1공원,37.590035,126.761676
신곡6지구(25호)신곡2공원,37.593645,126.754132
향산지구 제1어린이공원,37.618245,126.748739
양곡근린3,37.66162359,126.6314373
양곡택지5,37.65585469,126.6322645
양곡택지6,37.65334319,126.629642
마송근린2,37.68710695,126.5983879
마송근린3,37.6839591,126.6053702
마송근린4,37.686101,126.606932
장기어린이5,37.643765,126.672515
장기근린4,37.64223325,126.673841
